Type, Length, Width, e_L, e_W
C,         56,        41,      1,      1
C,         59,        48,      1,      1
C,         55,        40,      1,      1
C,         56,        44,      1,      1
C,         57,        45,      1,      1
C,         60,        47,      1,      1
C,         51,        44,      1,      1
C,         52,        43,      1,      1
C,         56,        46,      1,      1
C,     59.8,    46.0,     1,       1 
C,     60.8,    47.1,     1,       1
C,     58.9,    48.0,     1,       1
C,     57.3,    42.1,     1,       1
C,     61.2,    44.8,     1,       1
C,     60.1,    46.2,     1,       1
C,     56.0,    45.1,     1,       1
C,     55.8,    43.4,     1,       1
C,     58.7,    44.6,     1,       1
C,     58.8,    45.2,     1,       1 
C,58,43,0.5,0.5
C,56,44,1.5,0.5
C,60,42,2.5,1.5
C,54,45,3.5,1.5
C,59,45,1.5,1.5
C,57,44,0.5,0.5
C,55,42,1.5,1.5
C,61,42,3.5,1.5
C,57,46,0.5,2.5
C,58,42,0.5,1.5
C, 61, 45.5, 2, 2
C, 62, 43, 2, 2
C, 62, 44.5, 2, 2
C, 61.5, 43, 2, 2
C, 59, 43.5, 2, 2
C, 60, 43.5, 2, 2
C, 61, 44, 2, 2
C, 62, 42.5, 2, 2
C, 59.5, 44, 2, 2
C, 60, 44.5, 2, 2  
C,     60,      43,     1.15,    1.15,
C,     60,      45,     1.15,    1.15,
C,     54,      40,     1.15,    1.15,
C,     53,      40,     1.15,    1.15,
C,     59,      44,     1.15,    1.15,
C,     60,      44,     1.15,    1.15,
D,     62,      37,     1.15,    1.15,
D,     61,      37,     1.15,    1.15,
Q,     30,      24,     1.15,    1.15,
Q,     31,      25,     1.15,    1.15,
C,	57.6,	45.0,	1,	1
C,	59.3,	42.6,	1,	1
C,	58.0,	43.3,	1,	1
C,	57.3,	42.6,	1,	1
C,	59.6,	42.6,	1,	1
C,	59.0,	47.6,	1,	1
C,	57.0,	46.0,	1,	1
C,	58.3,	44.3,	1,	1
C,	56.0,	47.3,	1,	1
C,	56.6,	47.0,	1,	1
C,	58.6,	44.6,	1,	1
C,	59.6,	40.6,	1,	1
C,	59.0,	43.6,	1,	1
C,	58.3,	45.0,	1,	1
C,	60.3,	43.0,	1,	1
C,    60,     41,    3.5, 3.5
C,    61,     44,    3.5, 3.5
C,    59,     45,    3.5, 3.5
C,    56,     47,    3.5, 3.5
C,    58,     43,    3.5, 3.5
C,    59,     42,    3.5, 3.5
C,    61,     43,    3.5, 3.5
C,    58,     43,    3.5, 3.5
C,    64,     44,    3.5, 3.5
C,    59,     44,    3.5, 3.5
C,      44,     56,   1,   1    
C,      44,     56,   1,   1
C,      43,     57,   1,   1
C,      42,     55,   1,   1
C,      43,     56,   1,   1
C,      43,     55,   1,   1
C,      46,     55,   1,   1
C,      43,     53,   1,   1
C,      43,     52,   1,   1
C,      44,     56,   1,   1
C,	58,	42,	1,	1
C,	54,	43,	1,	1
C,	59,	40,	1,	1
C,	58,	46,	1,	1
C,	58,	45,	1,	1
C,	59,	44,	1,	1
C,	58,	44,	1,	1
C,	59,	43,	1,	1
C,	59,	43,	1,	1
C,	57,	46,	1,	1
C,     53.6,    40.8,   0.7,     0.7
C,     53.2,    42,     1.2,     0.8
C,     54.4,    40,     0.7,     0.7  
C,     51.8,    39.4,   1,       0.7
C,     49.6,    40,     0.7,     0.5 
C,     51.6,    40.4,   0.7,     0.7
C,     51.6,    41.4,   0.7,     0.7
C,     51.2,    42.8,   0.7,     0.9
C,     50.4,    40,     0.7,     0.5
C,     54,      42,     0.5,     0.5
C,     53,      39.6,   0.5,     0.7
C,     52.6,    40,     0.7,     0.5
C,     53,      39.6,   0.5,     1
C,     53.4,    40.4,   1.2,     0.7
C,     51.2,    41,     0.9,     0.5
C,     54.2,    42.4,   1.2,     0.7
C,     54.6,    40.6,   0.7,     0.7
C,     53.8,    40.6,   0.7,     0.7
C,     54.8,    41.8,   0.7,     0.7
